lab,address,pincode,city,state,type,latitude,longitude
Carbon Health - Castro Clinic,1998 Market St,744103,New York,New York,Private,37.7789457,-122.4292394
Laurel Heights Campus,3333 California St,791110,Los Angeles,California,Private,37.7162438,-122.4843817
San Bruno Ave Clinic,2574 San Bruno Ave,517507,Chicago,Illinois,Private,37.7162438,-122.4843817
Visitacion Valley,1099 Sunnydale Ave,533001,Houston,Texas,Public,37.7105793,-122.4144492
Kyla and SummerBio Testing,3918 Judah St (Sunset Youth Services),520008,Philadelphia,Pennsylvania,Private,37.7585844,-122.5015874
Mission Hub,19th St & Alabama St,515001,Phoenix,Arizona,Public,37.7603402,-122.4115023
Japantown Peace Plaza,1610 Geary Blvd,522004,San Antonio,Texas,Public,37.7852238,-122.4297307
NOW Hunters Point,155 Jennings St,516002,San Diego,California,Public,37.7393725,-122.3797054
HOPESF Hunters View Testing Van,901 Fairfax St,530002,Dallas,Texas,Public,37.735413,-122.3805806
ZSFG - Alternative Testing Site,1001 Potrero Ave,781032,San Jose,California,Public,37.756387,-122.405073
Bayview Opera House,4705 - 3rd St,786001,Austin,Texas,Public,37.7351131,-122.392323
BHS Central Admin Testing Van,1380 Howard St (Grace St),785001,Jacksonville,Florida,Public,37.7745194,-122.4166072
Potrero Hill Testing Van,107 Dakota St,788014,Indianapolis,Indiana,Public,37.7539213,-122.3974998
Visitacion Valley,2055 Sunnydale Ave,781301,San Francisco,California,Public,37.7134399,-122.4256486
CityTest SF - Alemany,100 Alemany Blvd,784010,Columbus,Ohio,Public,37.7162438,-122.4843817
Noriega Clinic,1450 Noriega,800007,Fort Worth,Texas,Private,37.7750733,-122.4908647
Cornerstone Missionary Baptist Church,6190 - 3rd St,800014,Charlotte,North Carolina,Public,37.7229116,-122.398209
Chinatown Portsmouth Square,745 Kearny St,800001,Detroit,Michigan,Public,37.7950511,-122.407308
Kyla and SummerBio Testing,333 Dolores St,846003,El Paso,Texas,Private,37.764323,-122.426113
Excelsior,20 Norton St,842004,Memphis,Tennessee,Public,37.7162438,-122.4843817
Test the People by renegade.bio,2730 - 21st St,801507,Boston,Massachusetts,Private,37.757629,-122.4094428
Respiratory Care Clinic at the Gateway Building in  Mission Bay,1825 - 4th St,160012,Seattle,Washington,Private,37.7750733,-122.4908647
Mission & 16th St Testing Van,16th St (In front of Victoria Theatre),160047,Denver,Colorado,Public,37.7651026,-122.4189559
Vallejo St Clinic,735 Vallejo St,160036,Washington,District of Columbia,Private,37.7750733,-122.4908647
Kyla and SummerBio Testing,750 - 31st Ave (Cross Cultural SF),492099,Nashville,Tennessee,Private,37.7750733,-122.4908647
Forward Clinic,180 Sutter St,494001,Baltimore,Maryland,Private,37.757629,-122.4094428
Treasure Island Nurse Clinic,800 Avenue H,492001,Louisville,Kentucky,Public,37.8264139,-122.370084
Kapwa Gardens (SOMA),967 Mission St,396230,Portland,Oregon,Public,37.7815686,-122.4079899
